price,stock_name
4.75,Reliance Power
98.30,Motherson Sumi
139.20,Future Retail
573.20,Bharti Airtel
104.85,Tata Motors
10.07,Vodafone Idea
491.00,IndusInd Bank
207.15,ITC
"1,079.00",HDFC Bank
184.45,SBI
52.60,BTL
"2,180.90",TCS
109.30,Phillips Carbon
576.15,HDFC Life
"2,169.85",HUL
362.85,Adani Ports
"2,722.30",Hero Motocorp
50.40,Tata Power
201.90,Cholamandalam
340.75,Bandhan Bank
183.80,M&M Financial
365.95,Bharat Dynamics
270.65,Petronet LNG
"6,204.05",Bajaj Finserv
364.55,ICICI Bank
"1,881.80",HDFC
93.60,Bharat Elec
38.10,BHEL
"5,950.70",Maruti Suzuki
528.30,M&M
175.20,RBL Bank
244.80,Ujjivan Financi
9.90,CG Power 
154.40,Jindal Steel
364.20,Cadila Health
"2,936.05",Bajaj Auto
332.75,Tata Steel
40.50,Reliance Infra
"2,187.35",Divis Labs
"1,702.05",Asian Paints
512.35,IOL Chemicals
389.35,Just Dial
950.35,Larsen
"1,412.00",Piramal Enter
"1,127.60",Muthoot Finance
82.65,ONGC
3.33,Jaiprakash Asso
761.60,Infosys
"1,356.50",Kotak Mahindra
128.35,Sterlite Techno
145.05,Hindalco
350.00,Bharat Forge
104.05,Vedanta
"1,028.95",PVR
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,773.00",Reliance
"2,960.95",Bajaj Finance
219.60,Indiabulls Hsg
427.95,Axis Bank
4.75,Reliance Power
98.25,Motherson Sumi
139.15,Future Retail
573.05,Bharti Airtel
104.80,Tata Motors
10.08,Vodafone Idea
491.05,IndusInd Bank
"1,079.00",HDFC Bank
184.45,SBI
206.95,ITC
52.60,BTL
"2,182.40",TCS
109.20,Phillips Carbon
575.00,HDFC Life
"2,169.00",HUL
363.20,Adani Ports
"2,722.00",Hero Motocorp
202.45,Cholamandalam
50.35,Tata Power
340.60,Bandhan Bank
"6,203.80",Bajaj Finserv
270.60,Petronet LNG
365.65,Bharat Dynamics
183.65,M&M Financial
364.40,ICICI Bank
"1,881.80",HDFC
93.50,Bharat Elec
38.00,BHEL
"5,950.70",Maruti Suzuki
528.20,M&M
175.20,RBL Bank
244.95,Ujjivan Financi
9.88,CG Power 
154.40,Jindal Steel
363.75,Cadila Health
332.90,Tata Steel
"2,934.00",Bajaj Auto
40.50,Reliance Infra
"2,187.35",Divis Labs
"1,702.25",Asian Paints
513.25,IOL Chemicals
389.20,Just Dial
950.00,Larsen
"1,410.00",Piramal Enter
"1,125.80",Muthoot Finance
82.70,ONGC
3.35,Jaiprakash Asso
761.45,Infosys
"1,357.20",Kotak Mahindra
128.75,Sterlite Techno
144.90,Hindalco
350.00,Bharat Forge
"1,029.65",PVR
104.00,Vedanta
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,773.20",Reliance
"2,960.50",Bajaj Finance
219.40,Indiabulls Hsg
427.95,Axis Bank
4.75,Reliance Power
98.30,Motherson Sumi
139.20,Future Retail
573.20,Bharti Airtel
104.85,Tata Motors
10.07,Vodafone Idea
491.00,IndusInd Bank
207.15,ITC
"1,079.00",HDFC Bank
184.45,SBI
52.60,BTL
"2,180.90",TCS
109.30,Phillips Carbon
576.15,HDFC Life
"2,169.85",HUL
362.85,Adani Ports
"2,722.30",Hero Motocorp
50.40,Tata Power
201.90,Cholamandalam
340.75,Bandhan Bank
183.80,M&M Financial
365.95,Bharat Dynamics
270.65,Petronet LNG
"6,204.05",Bajaj Finserv
364.55,ICICI Bank
"1,881.80",HDFC
93.60,Bharat Elec
38.10,BHEL
"5,950.70",Maruti Suzuki
528.30,M&M
175.20,RBL Bank
244.80,Ujjivan Financi
9.90,CG Power 
154.40,Jindal Steel
364.20,Cadila Health
"2,936.05",Bajaj Auto
332.75,Tata Steel
40.50,Reliance Infra
"2,187.35",Divis Labs
"1,702.05",Asian Paints
512.35,IOL Chemicals
389.35,Just Dial
950.35,Larsen
"1,412.00",Piramal Enter
"1,127.60",Muthoot Finance
82.65,ONGC
3.33,Jaiprakash Asso
761.60,Infosys
"1,356.50",Kotak Mahindra
128.35,Sterlite Techno
145.05,Hindalco
350.00,Bharat Forge
104.05,Vedanta
"1,028.95",PVR
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,773.20",Reliance
"2,960.50",Bajaj Finance
219.40,Indiabulls Hsg
427.95,Axis Bank
4.75,Reliance Power
98.30,Motherson Sumi
139.20,Future Retail
573.20,Bharti Airtel
104.85,Tata Motors
10.07,Vodafone Idea
491.00,IndusInd Bank
207.15,ITC
"1,079.00",HDFC Bank
184.45,SBI
52.60,BTL
"2,180.90",TCS
109.30,Phillips Carbon
576.15,HDFC Life
"2,169.85",HUL
362.85,Adani Ports
"2,722.30",Hero Motocorp
50.40,Tata Power
201.90,Cholamandalam
340.75,Bandhan Bank
183.80,M&M Financial
365.95,Bharat Dynamics
270.65,Petronet LNG
"6,204.05",Bajaj Finserv
364.55,ICICI Bank
"1,881.80",HDFC
93.60,Bharat Elec
38.10,BHEL
"5,950.70",Maruti Suzuki
528.30,M&M
175.20,RBL Bank
244.80,Ujjivan Financi
9.90,CG Power 
154.40,Jindal Steel
364.20,Cadila Health
"2,936.05",Bajaj Auto
332.75,Tata Steel
40.50,Reliance Infra
"2,187.35",Divis Labs
"1,702.05",Asian Paints
512.35,IOL Chemicals
389.35,Just Dial
950.35,Larsen
"1,412.00",Piramal Enter
"1,127.60",Muthoot Finance
82.65,ONGC
3.33,Jaiprakash Asso
761.60,Infosys
"1,356.50",Kotak Mahindra
128.35,Sterlite Techno
145.05,Hindalco
350.00,Bharat Forge
104.05,Vedanta
"1,028.95",PVR
price,stock_name
55.60,Alok Industries
"1,351.00",Metropolis
"1,774.00",Reliance
"2,954.00",Bajaj Finance
219.45,Indiabulls Hsg
427.85,Axis Bank
4.75,Reliance Power
